"co_cid";"no_cid"
"W993";"Exposição out. fat. ambientais artif. e ñ especificados - área para prática de esportes e atletismo"
"W994";"Exposição out. fat. ambientais artif. e ñ especificados - rua e estrada"
"W995";"Exposição out. fat. ambientais artif. e ñ especificados - áreas de comércio e de serviços"
"W996";"Exposição out. fat. ambientais artif. e ñ especificados - áreas industriais e em construção"
"W997";"Exposição out. fat. ambientais artif. e ñ especificados - fazenda"
"W998";"Exposição out. fat. ambientais artif. e ñ especificados - outros locais especificados"
"W999";"Local ne"
"X00 ";"Exposição a fogo não-controlado em um edifício ou outro tipo de construção"
"X000";"Expos. fogo não-contr. num edif./outro tipo constr. - residência"
"X001";"Expos. fogo não-contr. num edif./outro tipo constr. - habitação coletiva"
"X002";"Expos. fogo não-contr. num edif./outro tipo constr. - escolas, out. instit. e áreas de admin. públ."
"X003";"Expos. fogo não-contr. num edif./outro tipo constr. - área para a prática de esportes e atletismo"
"X004";"Expos. fogo não-contr. num edif./outro tipo constr. - rua e estrada"
"X005";"Expos. fogo não-contr. num edif./outro tipo constr. - áreas de comércio e de serviços"
"X006";"Expos. fogo não-contr. num edif./outro tipo constr. - áreas industriais e em construção"
"X007";"Expos. fogo não-contr. num edif./outro tipo constr. - fazenda"
"X008";"Expos. fogo não-contr. num edif./outro tipo constr. - outros locais especificados"
"X009";"Expos. fogo não-contr. num edif./outro tipo constr. - local não especificado"
"X01 ";"Exposição a fogo não-controlado fora de um edifício ou deoutro tipo de construção"
"X010";"Expos. fogo não-contr. fora de edif./out. tipo constr. - residência"
"X011";"Expos. fogo não-contr. fora de edif./out. tipo constr. - habitação coletiva"
"X012";"Expos. fogo não-contr. fora de edif./out. tipo constr. - escolas, out. instit. e áreas admin. públ."
"X013";"Expos. fogo não-contr. fora de edif./out. tipo constr. - área para a prática de esportes e atletismo"
"X014";"Expos. fogo não-contr. fora de edif./out. tipo constr. - rua e estrada"
"X015";"Expos. fogo não-contr. fora de edif./out. tipo constr. - áreas de comércio e de serviços"
"X016";"Expos. fogo não-contr. fora de edif./out. tipo constr. - áreas industriais e em construção"
"X017";"Expos. fogo não-contr. fora de edif./out. tipo constr. - fazenda"
"X018";"Expos. fogo não-contr. fora de edif./out. tipo constr. - outros locais especificados"
"X019";"Expos. fogo não-contr. fora de edif./out. tipo constr. - local não especificado"
"X02 ";"Exposição a fogo controlado em um edifício ou outro tipo de construção"
"X020";"Expos. fogo contr. num edif./out. tipo constr. - residência"
"X021";"Expos. fogo contr. num edif./out. tipo constr. - habitação coletiva"
"X022";"Expos. fogo contr. num edif./out. tipo constr. - escolas, out. instit. e áreas de admin. pública"
"X023";"Expos. fogo contr. num edif./out. tipo constr. - área para a prática de esportes e atletismo"
"X024";"Expos. fogo contr. num edif./out. tipo constr. - rua e estrada"
"X025";"Expos. fogo contr. num edif./out. tipo constr. - áreas de comércio e de serviços"
"X026";"Expos. fogo contr. num edif./out. tipo constr. - áreas industriais e em construção"
"X027";"Expos. fogo contr. num edif./out. tipo constr. - fazenda"
"X028";"Expos. fogo contr. num edif./out. tipo constr. - outros locais especificados"
"X029";"Expos. fogo contr. num edif./out. tipo constr. - local não especificado"
"X03 ";"Exposição a fogo controlado fora de um edifício ou de outro tipo de construção"
"X030";"Expos. fogo contr. fora de edif./out. tipo constr. - residência"
"X031";"Expos. fogo contr. fora de edif./out. tipo constr. - habitação coletiva"
"X032";"Expos. fogo contr. fora de edif./out. tipo constr. - escolas, out. instit. e áreas de admin. pública"
"X033";"Expos. fogo contr. fora de edif./out. tipo constr. - área para a prática de esportes e atletismo"
"X034";"Expos. fogo contr. fora de edif./out. tipo constr. - rua e estrada"
"X035";"Expos. fogo contr. fora de edif./out. tipo constr. - áreas de comércio e de serviços"
"X036";"Expos. fogo contr. fora de edif./out. tipo constr. - áreas industriais e em construção"
"X037";"Expos. fogo contr. fora de edif./out. tipo constr. - fazenda"
"X038";"Expos. fogo contr. fora de edif./out. tipo constr. - outros locais especificados"
"X039";"Expos. fogo contr. fora de edif./out. tipo constr. - local não especificado"
"X04 ";"Exposição a combustao de substancia muito inflamavel"
"X040";"Expos. combustão de substância muito inflamável - residência"
"X041";"Expos. combustão de substância muito inflamável - habitação coletiva"
"X042";"Expos. combustão de substância muito inflamável - escolas, outras instit. e áreas de admin. pública"
"X043";"Expos. combustão de substância muito inflamável - área para a prática de esportes e atletismo"
"X044";"Expos. combustão de substância muito inflamável - rua e estrada"
"X045";"Expos. combustão de substância muito inflamável - áreas de comércio e de serviços"
"X046";"Expos. combustão de substância muito inflamável - áreas industriais e em construção"
"X047";"Expos. combustão de substância muito inflamável - fazenda"
"X048";"Expos. combustão de substância muito inflamável - outros locais especificados"
"X049";"Expos. combustão de substância muito inflamável - local não especificado"
"X05 ";"Exposição a combustao de roupa de dormir"
"X050";"Expos. combustão de roupa de dormir - residência"
"X051";"Expos. combustão de roupa de dormir - habitação coletiva"
"X052";"Expos. combustão de roupa de dormir - escolas, outras instituições e áreas de administração pública"
"X053";"Expos. combustão de roupa de dormir - área para a prática de esportes e atletismo"
"X054";"Expos. combustão de roupa de dormir - rua e estrada"
"X055";"Expos. combustão de roupa de dormir - áreas de comércio e de serviços"
"X056";"Expos. combustão de roupa de dormir - áreas industriais e em construção"
"X057";"Expos. combustão de roupa de dormir - fazenda"
"X058";"Expos. combustão de roupa de dormir - outros locais especificados"
"X059";"Expos. combustão de roupa de dormir - local não especificado"
"X06 ";"Exposição a combustao de outro tipo de roupa ou de acessórios"
"X060";"Expos. combustão de outro tipo de roupa/de acessórios - residência"
"X061";"Expos. combustão de outro tipo roupa/acessórios - habitação coletiva"
"X062";"Expos. combustão de outro tipo roupa/acessórios - escolas, outras instit. e áreas de admin. pública"
"X063";"Expos. combustão de outro tipo roupa/acessórios - área para a prática de esportes e atletismo"
"X064";"Expos. combustão de outro tipo roupa/acessórios - rua e estrada"
"X065";"Expos. combustão de outro tipo roupa/acessórios - áreas de comércio e de serviços"
"X066";"Expos. combustão de outro tipo roupa/acessórios - áreas industriais e em construção"
"X067";"Expos. combustão de outro tipo roupa/acessórios - fazenda"
"X068";"Expos. combustão de outro tipo roupa/acessórios - outros locais especificados"
"X069";"Expos. combustão de outro tipo roupa/acessórios - local não especificado"
"X08 ";"Exposição a outro tipo especificado de fumaça, fogo ou chamas"
"X080";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - residência"
"X081";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - habitação coletiva"
"X082";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - escolas, outras inst. e áreas adm. pública"
"X083";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - área p/ a prática de esportes e atletismo"
"X084";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - rua e estrada"
"X085";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - áreas de comércio e de serviços"
"X086";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - áreas industriais e em construção"
"X087";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - fazenda"
"X088";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - outros locais especificados"
"X089";"Exposição a outro tipo espec. de fumaça, fogo ou chamas - local não especificado"
"X09 ";"Exposição a tipo não especificado de fumaça, fogo ou chamas"
"X090";"Exposição a tipo não espec. de fumaça, fogo ou chamas - residência"
"X091";"Exposição a tipo não espec. de fumaça, fogo ou chamas - habitação coletiva"
"X092";"Exposição a tipo não espec. de fumaça, fogo ou chamas - escolas, outras inst. e áreas adm. pública"
"X093";"Exposição a tipo não espec. de fumaça, fogo ou chamas - área para a prática de esportes e atletismo"
"X094";"Exposição a tipo não espec. de fumaça, fogo ou chamas - rua e estrada"
"X095";"Exposição a tipo não espec. de fumaça, fogo ou chamas - áreas de comércio e de serviços"
"X096";"Exposição a tipo não espec. de fumaça, fogo ou chamas - áreas industriais e em construção"
"X097";"Exposição a tipo não espec. de fumaça, fogo ou chamas - fazenda"
"X098";"Exposição a tipo não espec. de fumaça, fogo ou chamas - outros locais especificados"
"X099";"Exposição a tipo não espec. de fumaça, fogo ou chamas - local não especificado"
"X10 ";"Contato com bebidas alimentos gordura e oleo de cozinha quentes"
"X100";"Contato c/bebidas, alim., gord/óleo cozinha quente - residência"
"X101";"Contato c/bebidas, alim., gord/óleo cozinha quente - habitação coletiva"
"X102";"Contato c/bebidas, alim., gord/óleo cozinha quente - escolas, out. instit. e áreas de admin. pública"
"X103";"Contato c/bebidas, alim., gord/óleo cozinha quente - área para a prática de esportes e atletismo"
"X104";"Contato c/bebidas, alim., gord/óleo cozinha quente - rua e estrada"
"X105";"Contato c/bebidas, alim., gord/óleo cozinha quente - áreas de comércio e de serviços"
"X106";"Contato c/bebidas, alim., gord/óleo cozinha quente - áreas industriais e em construção"
"X107";"Contato c/bebidas, alim., gord/óleo cozinha quente - fazenda"
"X108";"Contato c/bebidas, alim., gord/óleo cozinha quente - outros locais especificados"
"X109";"Contato c/bebidas, alim., gord/óleo cozinha quente - local não especificado"
"X11 ";"Contato com água corrente quente de torneira"
"X110";"Contato c/água corr. quente de torneira - residência"
"X111";"Contato c/água corr. quente de torneira - habitação coletiva"
"X112";"Contato c/água corr. quente de torneira - escolas, outras instituições e áreas de administ. pública"
"X113";"Contato c/água corr. quente de torneira - área para a prática de esportes e atletismo"
"X114";"Contato c/água corr. quente de torneira - rua e estrada"
"X115";"Contato c/água corr. quente de torneira - áreas de comércio e de serviços"
"X116";"Contato c/água corr. quente de torneira - áreas industriais e em construção"
"X117";"Contato c/água corr. quente de torneira - fazenda"
"X118";"Contato c/água corr. quente de torneira - outros locais especificados"
"X119";"Contato c/água corr. quente de torneira - local não especificado"
"X12 ";"Contato com outros líquidos quentes"
"X120";"Contato c/outros líquidos quentes - residência"
"X121";"Contato c/outros líquidos quentes - habitação coletiva"
"X122";"Contato c/outros líquidos quentes - escolas, outras instituições e áreas de administração pública"
"X123";"Contato c/outros líquidos quentes - área para a prática de esportes e atletismo"
"X124";"Contato c/outros líquidos quentes - rua e estrada"
"X125";"Contato c/outros líquidos quentes - áreas de comércio e de serviços"
"X126";"Contato c/outros líquidos quentes - áreas industriais e em construção"
"X127";"Contato c/outros líquidos quentes - fazenda"
"X128";"Contato c/outros líquidos quentes - outros locais especificados"
"X129";"Contato c/outros líquidos quentes - local não especificado"
"X13 ";"Contato com vapor de água e com vapores quentes"
"X130";"Contato c/vapor dágua e com vapores quentes - residência"
"X131";"Contato c/vapor dágua e com vapores quentes - habitação coletiva"
"X132";"Contato c/vapor dágua e com vapores quentes - escolas, out. instit. e áreas de administ. pública"
"X133";"Contato c/vapor dágua e com vapores quentes - área para a prática de esportes e atletismo"
"X134";"Contato c/vapor dágua e com vapores quentes - rua e estrada"
"X135";"Contato c/vapor dágua e com vapores quentes - áreas de comércio e de serviços"
"X136";"Contato c/vapor dágua e com vapores quentes - áreas industriais e em construção"
"X137";"Contato c/vapor dágua e com vapores quentes - fazenda"
"X138";"Contato c/vapor dágua e com vapores quentes - outros locais especificados"
"X139";"Contato c/vapor dágua e com vapores quentes - local não especificado"
"X14 ";"Contato com ar e gases quentes"
"X140";"Contato c/ar e gases quentes - residência"
"X141";"Contato c/ar e gases quentes - habitação coletiva"
"X142";"Contato c/ar e gases quentes - escolas, outras instituições e áreas de administração pública"
"X143";"Contato c/ar e gases quentes - área para a prática de esportes e atletismo"
"X144";"Contato c/ar e gases quentes - rua e estrada"
"X145";"Contato c/ar e gases quentes - áreas de comércio e de serviços"
"X146";"Contato c/ar e gases quentes - áreas industriais e em construção"
"X147";"Contato c/ar e gases quentes - fazenda"
"X148";"Contato c/ar e gases quentes - outros locais especificados"
"X149";"Contato c/ar e gases quentes - local não especificado"
"X15 ";"Contato com aparelhos domésticos quentes"
"X150";"Contato c/aparelhos domésticos quentes - residência"
"X151";"Contato c/aparelhos domésticos quentes - habitação coletiva"
"X152";"Contato c/aparelhos domésticos quentes - escolas, outras instituições e áreas de administ. pública"
"X153";"Contato c/aparelhos domésticos quentes - área para a prática de esportes e atletismo"
"X154";"Contato c/aparelhos domésticos quentes - rua e estrada"
"X155";"Contato c/aparelhos domésticos quentes - áreas de comércio e de serviços"
"X156";"Contato c/aparelhos domésticos quentes - áreas industriais e em construção"
"X157";"Contato c/aparelhos domésticos quentes - fazenda"
"X158";"Contato c/aparelhos domésticos quentes - outros locais especificados"
"X159";"Contato c/aparelhos domésticos quentes - local não especificado"
"X16 ";"Contato com aquecedores radiadores e tubulação"
"X160";"Contato c/aquecedores, radiadores e tubulação - residência"
"X161";"Contato c/aquecedores, radiadores e tubulação - habitação coletiva"
"X162";"Contato c/aquecedores, radiadores e tubulação - escolas, out. instit. e áreas de administr. pública"
"X163";"Contato c/aquecedores, radiadores e tubulação - área para a prática de esportes e atletismo"
"X164";"Contato c/aquecedores, radiadores e tubulação - rua e estrada"
"X165";"Contato c/aquecedores, radiadores e tubulação - áreas de comércio e de serviços"
"X166";"Contato c/aquecedores, radiadores e tubulação - áreas industriais e em construção"
"X167";"Contato c/aquecedores, radiadores e tubulação - fazenda"
"X168";"Contato c/aquecedores, radiadores e tubulação - outros locais especificados"
"X169";"Contato c/aquecedores, radiadores e tubulação - local não especificado"
"X17 ";"Contato com motores máquinas e ferramentos quentes"
"X170";"Contato c/motores, máquinas e ferramentas quentes - residência"
"X171";"Contato c/motores, máquinas e ferramentas quentes - habitação coletiva"
"X172";"Contato c/motores, máquinas e ferramentas quentes - escolas, out. instit. e áreas de admin. pública"
"X173";"Contato c/motores, máquinas e ferramentas quentes - área para a prática de esportes e atletismo"
"X174";"Contato c/motores, máquinas e ferramentas quentes - rua e estrada"
"X175";"Contato c/motores, máquinas e ferramentas quentes - áreas de comércio e de serviços"
"X176";"Contato c/motores, máquinas e ferramentas quentes - áreas industriais e em construção"
"X177";"Contato c/motores, máquinas e ferramentas quentes - fazenda"
"X178";"Contato c/motores, máquinas e ferramentas quentes - outros locais especificados"
"X179";"Contato c/motores, máquinas e ferramentas quentes - local não especificado"
"X18 ";"Contato com outros metais quentes"
"X180";"Contato c/outros metais quentes - residência"
"X181";"Contato c/outros metais quentes - habitação coletiva"
"X182";"Contato c/outros metais quentes - escolas, outras instituições e áreas de administração pública"
"X183";"Contato c/outros metais quentes - área para a prática de esportes e atletismo"
"X184";"Contato c/outros metais quentes - rua e estrada"
"X185";"Contato c/outros metais quentes - áreas de comércio e de serviços"
"X186";"Contato c/outros metais quentes - áreas industriais e em construção"
"X187";"Contato c/outros metais quentes - fazenda"
"X188";"Contato c/outros metais quentes - outros locais especificados"
"X189";"Contato c/outros metais quentes - local não especificado"
"X19 ";"Contato com outras fontes de calor ou com substancias quentes não especificados"
"X190";"Contato c/outras fontes calor/subst. quentes ñ especif. - residência"
"X191";"Contato c/outras fontes calor/subst. quentes ñ especif. - habitação coletiva"
"X192";"Contato c/outras fontes calor/subst. quentes ñ especif. - escolas, out. instit. e áreas admin. públ."
"X193";"Contato c/outras fontes calor/subst. quentes ñ especif. - área para a prática de esportes/atletismo"
"X194";"Contato c/outras fontes calor/subst. quentes ñ especif. - rua e estrada"
"X195";"Contato c/outras fontes calor/subst. quentes ñ especif. - áreas de comércio e de serviços"
"X196";"Contato c/outras fontes calor/subst. quentes ñ especif. - áreas industriais e em construção"
"X197";"Contato c/outras fontes calor/subst. quentes ñ especif. - fazenda"
"X198";"Contato c/outras fontes calor/subst. quentes ñ especif. - outros locais especificados"
"X199";"Contato c/outras fontes calor/subst. quentes ñ especif. - local não especificado"
"X20 ";"Contato com serpentes e lagartos venenosos"
"X200";"Contato c/serpentes e lagartos venenosos - residência"
"X201";"Contato c/serpentes e lagartos venenosos - habitação coletiva"
"X202";"Contato c/serpentes e lagartos venenosos - escolas, outras instituições e áreas de administ. pública"
"X203";"Contato c/serpentes e lagartos venenosos - área para a prática de esportes e atletismo"
"X204";"Contato c/serpentes e lagartos venenosos - rua e estrada"
"X205";"Contato c/serpentes e lagartos venenosos - áreas de comércio e de serviços"
"X206";"Contato c/serpentes e lagartos venenosos - áreas industriais e em construção"
"X207";"Contato c/serpentes e lagartos venenosos - fazenda"
"X208";"Contato c/serpentes e lagartos venenosos - outros locais especificados"
"X209";"Contato c/serpentes e lagartos venenosos - local não especificado"
"X21 ";"Contato com aranhas venenosas"
"X210";"Contato c/aranhas venenosas - residência"
"X211";"Contato c/aranhas venenosas - habitação coletiva"
"X212";"Contato c/aranhas venenosas - escolas, outras instituições e áreas de administração pública"
"X213";"Contato c/aranhas venenosas - área para a prática de esportes e atletismo"
"X214";"Contato c/aranhas venenosas - rua e estrada"
"X215";"Contato c/aranhas venenosas - áreas de comércio e de serviços"
"X216";"Contato c/aranhas venenosas - áreas industriais e em construção"
"X217";"Contato c/aranhas venenosas - fazenda"
"X218";"Contato c/aranhas venenosas - outros locais especificados"
"X219";"Contato c/aranhas venenosas - local não especificado"
"X22 ";"Contato com escorpioes"
"X220";"Contato c/escorpiões - residência"
"X221";"Contato c/escorpiões - habitação coletiva"
"X222";"Contato c/escorpiões - escolas, outras instituições e áreas de administração pública"
"X223";"Contato c/escorpiões - área para a prática de esportes e atletismo"
"X224";"Contato c/escorpiões - rua e estrada"
"X225";"Contato c/escorpiões - áreas de comércio e de serviços"
"X226";"Contato c/escorpiões - áreas industriais e em construção"
"X227";"Contato c/escorpiões - fazenda"
"X228";"Contato c/escorpiões - outros locais especificados"
"X229";"Contato c/escorpiões - local não especificado"
"X23 ";"Contato com abelhas vespas e vespoes"
"X230";"Contato c/abelhas, vespas e vespões - residência"
"X231";"Contato c/abelhas, vespas e vespões - habitação coletiva"
"X232";"Contato c/abelhas, vespas e vespões - escolas, outras instituições e áreas de administração pública"
"X233";"Contato c/abelhas, vespas e vespões - área para a prática de esportes e atletismo"
"X234";"Contato c/abelhas, vespas e vespões - rua e estrada"
"X235";"Contato c/abelhas, vespas e vespões - áreas de comércio e de serviços"
"X236";"Contato c/abelhas, vespas e vespões - áreas industriais e em construção"
"X237";"Contato c/abelhas, vespas e vespões - fazenda"
"X238";"Contato c/abelhas, vespas e vespões - outros locais especificados"
"X239";"Contato c/abelhas, vespas e vespões - local não especificado"
"X24 ";"Contato com centopéias e miriápodes venenosas (tropicais)"
"X240";"Contato c/centop. e miriápodes venen. (tropicais) - residência"
"X241";"Contato c/centop. e miriápodes venen. (tropicais) - habitação coletiva"
"X242";"Contato c/centop. e miriápodes venen. (tropicais) - escolas, out. instit. e áreas de admin. pública"
"X243";"Contato c/centop. e miriápodes venen. (tropicais) - área para a prática de esportes e atletismo"
"X244";"Contato c/centop. e miriápodes venen. (tropicais) - rua e estrada"
"X245";"Contato c/centop. e miriápodes venen. (tropicais) - áreas de comércio e de serviços"
"X246";"Contato c/centop. e miriápodes venen. (tropicais) - áreas industriais e em construção"
"X247";"Contato c/centop. e miriápodes venen. (tropicais) - fazenda"
"X248";"Contato c/centop. e miriápodes venen. (tropicais) - outros locais especificados"
"X249";"Contato c/centop. e miriápodes venen. (tropicais) - local não especificado"
"X25 ";"Contato com outros artrópodes venenosos"
"X250";"Contato com outros artrópodes venenosos - residência"
"X251";"Contato com outros artrópodes venenosos - habitação coletiva"
"X252";"Contato com outros artrópodes venenosos - escolas, outras inst. e áreas adm. pública"
"X253";"Contato com outros artrópodes venenosos - área para a prática de esportes e atletismo"
"X254";"Contato com outros artrópodes venenosos - rua e estrada"
"X255";"Contato com outros artrópodes venenosos - áreas de comércio e de serviços"
"X256";"Contato com outros artrópodes venenosos - áreas industriais e em construção"
"X257";"Contato com outros artrópodes venenosos - fazenda"
"X258";"Contato com outros artrópodes venenosos - outros locais especificados"
"X259";"Contato com outros artrópodes venenosos - local não especificado"
"X26 ";"Contato com animais e plantas marinhos venenosos"
"X260";"Contato c/animais e plantas marinhos venenosos - residência"
"X261";"Contato c/animais e plantas marinhos venenosos - habitação coletiva"
"X262";"Contato c/animais e plantas marinhos venenosos - escolas, out. instit. e áreas de admin. pública"
"X263";"Contato c/animais e plantas marinhos venenosos - área para a prática de esportes e atletismo"
"X264";"Contato c/animais e plantas marinhos venenosos - rua e estrada"
"X265";"Contato c/animais e plantas marinhos venenosos - áreas de comércio e de serviços"
"X266";"Contato c/animais e plantas marinhos venenosos - áreas industriais e em construção"
"X267";"Contato c/animais e plantas marinhos venenosos - fazenda"
"X268";"Contato c/animais e plantas marinhos venenosos - outros locais especificados"
"X269";"Contato c/animais e plantas marinhos venenosos - local não especificado"
"X27 ";"Contato com outros animais venenosos especificados"
"X270";"Contato c/outros animais venenosos especificados - residência"
"X271";"Contato c/outros animais venenosos especificados - habitação coletiva"
"X272";"Contato c/outros animais venenosos especificados - escolas, out. instit. e áreas de admin. pública"
"X273";"Contato c/outros animais venenosos especificados - área para a prática de esportes e atletismo"
"X274";"Contato c/outros animais venenosos especificados - rua e estrada"
"X275";"Contato c/outros animais venenosos especificados - áreas de comércio e de serviços"
"X276";"Contato c/outros animais venenosos especificados - áreas industriais e em construção"
"X277";"Contato c/outros animais venenosos especificados - fazenda"
"X278";"Contato c/outros animais venenosos especificados - outros locais especificados"
"X279";"Contato c/outros animais venenosos especificados - local não especificado"
"X28 ";"Contato com outras plantas venenosas especificadas"
"X280";"Contato c/outras plantas venenosas especificadas - residência"
"X281";"Contato c/outras plantas venenosas especificadas - habitação coletiva"
"X282";"Contato c/outras plantas venenosas especificadas - escolas, out. instit. e áreas de admin. pública"
"X283";"Contato c/outras plantas venenosas especificadas - área para a prática de esportes e atletismo"
"X284";"Contato c/outras plantas venenosas especificadas - rua e estrada"
"X285";"Contato c/outras plantas venenosas especificadas - áreas de comércio e de serviços"
"X286";"Contato c/outras plantas venenosas especificadas - áreas industriais e em construção"
"X287";"Contato c/outras plantas venenosas especificadas - fazenda"
"X288";"Contato c/outras plantas venenosas especificadas - outros locais especificados"
"X289";"Contato c/outras plantas venenosas especificadas - local não especificado"
"X29 ";"Contato com animais ou plantas venenosos sem especificação"
"X290";"Contato c/animais/plantas venenosos, s/especificação - residência"
"X291";"Contato c/animais/plantas venenosos, s/especificação - habitação coletiva"
"X292";"Contato c/animais/plantas venenosos, s/especificação - escolas, out. inst. e áreas de admin. pública"
"X293";"Contato c/animais/plantas venenosos, s/especificação - área para a prática de esportes e atletismo"
"X294";"Contato c/animais/plantas venenosos, s/especificação - rua e estrada"
"X295";"Contato c/animais/plantas venenosos, s/especificação - áreas de comércio e de serviços"
"X296";"Contato c/animais/plantas venenosos, s/especificação - áreas industriais e em construção"
"X297";"Contato c/animais/plantas venenosos, s/especificação - fazenda"
"X298";"Contato c/animais/plantas venenosos, s/especificação - outros locais especificados"
"X299";"Contato c/animais/plantas venenosos, s/especificação - local não especificado"
"X30 ";"Exposição a calor natural excessivo"
"X300";"Exposição a calor natural excessivo - residência"
"X301";"Exposição a calor natural excessivo - habitação coletiva"
"X302";"Exposição a calor natural excessivo - escolas, outras instituições e áreas de administração pública"
"X303";"Exposição a calor natural excessivo - área para a prática de esportes e atletismo"
"X304";"Exposição a calor natural excessivo - rua e estrada"
"X305";"Exposição a calor natural excessivo - áreas de comércio e de serviços"
"X306";"Exposição a calor natural excessivo - áreas industriais e em construção"
"X307";"Exposição a calor natural excessivo - fazenda"
"X308";"Exposição a calor natural excessivo - outros locais especificados"
"X309";"Exposição a calor natural excessivo - local não especificado"
"X31 ";"Exposição a frio natural excessivo"
"X310";"Exposição a frio natural excessivo - residência"
"X311";"Exposição a frio natural excessivo - habitação coletiva"
"X312";"Exposição a frio natural excessivo - escolas, outras instituições e áreas de administração pública"
"X313";"Exposição a frio natural excessivo - área para a prática de esportes e atletismo"
"X314";"Exposição a frio natural excessivo - rua e estrada"
"X315";"Exposição a frio natural excessivo - áreas de comércio e de serviços"
"X316";"Exposição a frio natural excessivo - áreas industriais e em construção"
"X317";"Exposição a frio natural excessivo - fazenda"
"X318";"Exposição a frio natural excessivo - outros locais especificados"
"X319";"Exposição a frio natural excessivo - local não especificado"
"X32 ";"Exposição a luz solar"
"X320";"Exposição à luz solar - residência"
"X321";"Exposição à luz solar - habitação coletiva"
"X322";"Exposição à luz solar - escolas, outras instituições e áreas de administração pública"
"X323";"Exposição à luz solar - área para a prática de esportes e atletismo"
"X324";"Exposição à luz solar - rua e estrada"
"X325";"Exposição à luz solar - áreas de comércio e de serviços"
"X326";"Exposição à luz solar - áreas industriais e em construção"
"X327";"Exposição à luz solar - fazenda"
"X328";"Exposição à luz solar - outros locais especificados"
"X329";"Exposição à luz solar - local não especificado"
"X33 ";"Vitima de raio"
"X330";"Vítima de raio - residência"
"X331";"Vítima de raio - habitação coletiva"
"X332";"Vítima de raio - escolas, outras instituições e áreas de administração pública"
"X333";"Vítima de raio - área para a prática de esportes e atletismo"
"X334";"Vítima de raio - rua e estrada"
"X335";"Vítima de raio - áreas de comércio e de serviços"
"X336";"Vítima de raio - áreas industriais e em construção"
"X337";"Vítima de raio - fazenda"
"X338";"Vítima de raio - outros locais especificados"
"X339";"Vítima de raio - local não especificado"
"X34 ";"Vitima de terremoto"
"X340";"Vítima de terremoto - residência"
"X341";"Vítima de terremoto - habitação coletiva"
"X342";"Vítima de terremoto - escolas, outras instituições e áreas de administração pública"
"X343";"Vítima de terremoto - área para a prática de esportes e atletismo"
"X344";"Vítima de terremoto - rua e estrada"
"X345";"Vítima de terremoto - áreas de comércio e de serviços"
"X346";"Vítima de terremoto - áreas industriais e em construção"
"X347";"Vítima de terremoto - fazenda"
"X348";"Vítima de terremoto - outros locais especificados"
"X349";"Vítima de terremoto - local não especificado"
"X35 ";"Vitima de erupção vulcanica"
"X350";"Vítima de erupção vulcânica - residência"
"X351";"Vítima de erupção vulcânica - habitação coletiva"
"X352";"Vítima de erupção vulcânica - escolas, outras instituições e áreas de administração pública"
"X353";"Vítima de erupção vulcânica - área para a prática de esportes e atletismo"
"X354";"Vítima de erupção vulcânica - rua e estrada"
"X355";"Vítima de erupção vulcânica - áreas de comércio e de serviços"
"X356";"Vítima de erupção vulcânica - áreas industriais e em construção"
"X357";"Vítima de erupção vulcânica - fazenda"
"X358";"Vítima de erupção vulcânica - outros locais especificados"
"X359";"Vítima de erupção vulcânica - local não especificado"
"X36 ";"Vitima de avalanche desabamento de terra e outros movimentos da superficie terrestre"
"X360";"Vítima de aval., desab. terra e out. mov. superf. terr. - residência"
"X361";"Vítima de aval., desab. terra e out. mov. superf. terr. - habitação coletiva"
"X362";"Vítima de aval., desab. terra e out. mov. superf. terr. - escolas, out. inst. e áreas admin. pública"
"X363";"Vítima de aval., desab. terra e out. mov. superf. terr. - área para prática de esportes e atletismo"
"X364";"Vítima de aval., desab. terra e out. mov. superf. terr. - rua e estrada"
"X365";"Vítima de aval., desab. terra e out. mov. superf. terr. - áreas de comércio e de serviços"
"X366";"Vítima de aval., desab. terra e out. mov. superf. terr. - áreas industriais e em construção"
"X367";"Vítima de aval., desab. terra e out. mov. superf. terr. - fazenda"
"X368";"Vítima de aval., desab. terra e out. mov. superf. terr. - outros locais especificados"
"X369";"Vítima de aval., desab. terra e out. mov. superf. terr. - local não especificado"
"X37 ";"Vitima de tempestade cataclismica"
"X370";"Vítima de tempestade cataclísmica - residência"
"X371";"Vítima de tempestade cataclísmica - habitação coletiva"
"X372";"Vítima de tempestade cataclísmica - escolas, outras instituições e áreas de administração pública"
"X373";"Vítima de tempestade cataclísmica - área para a prática de esportes e atletismo"
"X374";"Vítima de tempestade cataclísmica - rua e estrada"
"X375";"Vítima de tempestade cataclísmica - áreas de comércio e de serviços"
"X376";"Vítima de tempestade cataclísmica - áreas industriais e em construção"
"X377";"Vítima de tempestade cataclísmica - fazenda"
"X378";"Vítima de tempestade cataclísmica - outros locais especificados"
"X379";"Vítima de tempestade cataclísmica - local não especificado"
"X38 ";"Vitima de inundação"
"X380";"Vítima de inundação - residência"
